car_brand_name,25k_pct_chage,50k_pct_chage,100k_pct_chage,sold_cars,feature,cluster_label
lexus sc 300,156.81169708798387,190.20904684673798,103.94813252877877,11,450.96887646350064,7
lexus rx 450h,156.81169708798387,190.20904684673798,103.94813252877877,178,450.96887646350064,7
lexus rc f,156.81169708798387,190.20904684673798,103.94813252877877,5,450.96887646350064,7
lexus rx 400h,156.81169708798387,190.20904684673798,103.94813252877877,164,450.96887646350064,7
lotus exige,156.81169708798387,190.20904684673798,103.94813252877877,1,450.96887646350064,7
maserati coupe,156.81169708798387,190.20904684673798,103.94813252877877,2,450.96887646350064,7
maserati ghibli,156.81169708798387,190.20904684673798,103.94813252877877,19,450.96887646350064,7
maserati gransport,156.81169708798387,190.20904684673798,103.94813252877877,2,450.96887646350064,7
mazda mazdaspeed mazda6,156.81169708798387,190.20904684673798,103.94813252877877,14,450.96887646350064,7
lexus es 330,156.81169708798387,190.20904684673798,103.94813252877877,309,450.96887646350064,7
lexus gs 300,156.81169708798387,190.20904684673798,103.94813252877877,219,450.96887646350064,7
mazda mazdaspeed mazda3,156.81169708798387,190.20904684673798,103.94813252877877,18,450.96887646350064,7
mazda mazdaspeed 3,156.81169708798387,190.20904684673798,103.94813252877877,21,450.96887646350064,7
mazda cx-7,156.81169708798387,190.20904684673798,103.94813252877877,384,450.96887646350064,7
lexus gs 400,156.81169708798387,190.20904684673798,103.94813252877877,20,450.96887646350064,7
mazda b-series truck,156.81169708798387,190.20904684673798,103.94813252877877,6,450.96887646350064,7
mazda b-series pickup,156.81169708798387,190.20904684673798,103.94813252877877,9,450.96887646350064,7
mazda b-series,156.81169708798387,190.20904684673798,103.94813252877877,1,450.96887646350064,7
mazda mazdaspeed protege,156.81169708798387,190.20904684673798,103.94813252877877,5,450.96887646350064,7
lexus gs 430,156.81169708798387,190.20904684673798,103.94813252877877,48,450.96887646350064,7
mazda 626,156.81169708798387,190.20904684673798,300.0,102,647.0207439347218,7
lexus gs 460,156.81169708798387,190.20904684673798,103.94813252877877,6,450.96887646350064,7
mazda 6,156.81169708798387,190.20904684673798,103.94813252877877,28,450.96887646350064,7
mazda 3,67.32394366197182,35.2112676056338,103.94813252877877,35,206.48334379638442,7
maserati spyder,156.81169708798387,190.20904684673798,103.94813252877877,3,450.96887646350064,7
lexus gx 470,156.81169708798387,72.07792207792207,25.19480519480519,105,254.08442436071113,7
lexus hs 250h,156.81169708798387,190.20904684673798,103.94813252877877,72,450.96887646350064,7
maserati granturismo convertible,156.81169708798387,190.20904684673798,103.94813252877877,13,450.96887646350064,7
lexus is 300,156.81169708798387,190.20904684673798,103.94813252877877,112,450.96887646350064,7
lexus is 350 c,156.81169708798387,190.20904684673798,103.94813252877877,17,450.96887646350064,7
lexus gs 450h,156.81169708798387,190.20904684673798,103.94813252877877,33,450.96887646350064,7
mitsubishi i-miev,-38.59649122807018,190.20904684673798,103.94813252877877,21,255.56068814744657,7
nissan nv cargo,-10.738636363636363,190.20904684673798,103.94813252877877,58,283.4185430118804,7
mitsubishi lancer sportback,98.80952380952382,108.92857142857142,0.8928571428571428,39,208.63095238095238,7
toyota mr2 spyder,156.81169708798387,190.20904684673798,103.94813252877877,16,450.96887646350064,7
toyota matrix,326.8221574344023,230.2623906705539,100.99125364431485,349,658.075801749271,7
toyota highlander hybrid,156.81169708798387,190.20904684673798,103.94813252877877,204,450.96887646350064,7
toyota echo,156.81169708798387,190.20904684673798,11.538461538461538,60,358.5592054731834,7
toyota camry solara,156.81169708798387,190.20904684673798,103.94813252877877,368,450.96887646350064,7
toyota avalon hybrid,-11.010752688172044,190.20904684673798,103.94813252877877,40,283.14642668734473,7
suzuki xl7,156.81169708798387,190.20904684673798,103.94813252877877,148,450.96887646350064,7
suzuki xl-7,156.81169708798387,190.20904684673798,693.75,79,1040.7707439347218,7
suzuki vitara,156.81169708798387,190.20904684673798,103.94813252877877,6,450.96887646350064,7
suzuki verona,156.81169708798387,190.20904684673798,103.94813252877877,21,450.96887646350064,7
suzuki sidekick,156.81169708798387,190.20904684673798,103.94813252877877,1,450.96887646350064,7
toyota paseo,156.81169708798387,190.20904684673798,103.94813252877877,1,450.96887646350064,7
suzuki reno,156.81169708798387,190.20904684673798,103.94813252877877,43,450.96887646350064,7
suzuki forenza,156.81169708798387,384.8484848484848,297.3262032085562,239,838.9863851450249,7
suzuki esteem,156.81169708798387,190.20904684673798,103.94813252877877,4,450.96887646350064,7
suzuki equator,156.81169708798387,190.20904684673798,103.94813252877877,2,450.96887646350064,7
suzuki aerio,156.81169708798387,190.20904684673798,103.94813252877877,23,450.96887646350064,7
subaru wrx,10.546785632578358,190.20904684673798,103.94813252877877,33,304.7039650080951,7
subaru tribeca,156.81169708798387,190.20904684673798,103.94813252877877,72,450.96887646350064,7
subaru impreza wrx,-20.48899409956542,190.20904684673798,103.94813252877877,108,273.6681852759513,7
subaru baja,156.81169708798387,190.20904684673798,39.42307692307692,42,386.44382085779876,7
subaru b9 tribeca,156.81169708798387,190.20904684673798,202.67857142857144,87,549.6993153632933,7
scion xa,156.81169708798387,190.20904684673798,103.94813252877877,29,450.96887646350064,7
saturn vue hybrid,156.81169708798387,190.20904684673798,103.94813252877877,13,450.96887646350064,7
suzuki kizashi,156.81169708798387,190.20904684673798,103.94813252877877,32,450.96887646350064,7
toyota pickup,156.81169708798387,190.20904684673798,103.94813252877877,7,450.96887646350064,7
toyota t100,156.81169708798387,190.20904684673798,103.94813252877877,4,450.96887646350064,7
toyota tercel,156.81169708798387,190.20904684673798,103.94813252877877,20,450.96887646350064,7
volvo xc,156.81169708798387,190.20904684673798,103.94813252877877,25,450.96887646350064,7
volvo v60,156.81169708798387,190.20904684673798,103.94813252877877,83,450.96887646350064,7
volvo v50,156.81169708798387,190.20904684673798,103.94813252877877,51,450.96887646350064,7
volvo v40,156.81169708798387,190.20904684673798,103.94813252877877,21,450.96887646350064,7
volvo s90,156.81169708798387,190.20904684673798,103.94813252877877,7,450.96887646350064,7
volvo s70,156.81169708798387,690.1234567901234,97.53086419753086,74,944.4660180756381,7
volvo s40,156.81169708798387,464.5021645021645,150.2673796791444,396,771.5812412692927,7
volvo c30,156.81169708798387,190.20904684673798,103.94813252877877,40,450.96887646350064,7
volvo 960,156.81169708798387,190.20904684673798,103.94813252877877,7,450.96887646350064,7
volvo 940,156.81169708798387,190.20904684673798,103.94813252877877,2,450.96887646350064,7
volvo 850,156.81169708798387,190.20904684673798,103.94813252877877,20,450.96887646350064,7
volkswagen touareg 2,156.81169708798387,190.20904684673798,103.94813252877877,41,450.96887646350064,7
volkswagen routan,156.81169708798387,190.20904684673798,103.94813252877877,232,450.96887646350064,7
volkswagen rabbit,156.81169708798387,190.20904684673798,103.94813252877877,95,450.96887646350064,7
volkswagen r32,156.81169708798387,190.20904684673798,103.94813252877877,15,450.96887646350064,7
volkswagen phaeton,156.81169708798387,190.20904684673798,103.94813252877877,10,450.96887646350064,7
volkswagen jetta hybrid,156.81169708798387,190.20904684673798,103.94813252877877,22,450.96887646350064,7
volkswagen jetta gli,156.81169708798387,190.20904684673798,103.94813252877877,49,450.96887646350064,7
volkswagen golf r,-1.550387596899225,190.20904684673798,103.94813252877877,22,292.60679177861755,7
volkswagen golf gti,156.81169708798387,190.20904684673798,103.94813252877877,8,450.96887646350064,7
volkswagen gli,156.81169708798387,190.20904684673798,103.94813252877877,65,450.96887646350064,7
volkswagen eurovan,156.81169708798387,190.20904684673798,103.94813252877877,7,450.96887646350064,7
volkswagen eos,156.81169708798387,190.20904684673798,103.94813252877877,190,450.96887646350064,7
volkswagen cabrio,156.81169708798387,190.20904684673798,103.94813252877877,30,450.96887646350064,7
volkswagen beetle convertible,-10.651408450704224,190.20904684673798,103.94813252877877,59,283.5057709248125,7
saturn sky,156.81169708798387,190.20904684673798,103.94813252877877,50,450.96887646350064,7
saturn s-series,156.81169708798387,44.17344173441736,164.82384823848238,350,365.8089870608836,7
saturn relay,156.81169708798387,190.20904684673798,533.3333333333333,60,880.3540772680551,7
saturn outlook,156.81169708798387,190.20904684673798,103.94813252877877,288,450.96887646350064,7
oldsmobile regency,156.81169708798387,190.20904684673798,103.94813252877877,1,450.96887646350064,7
oldsmobile intrigue,156.81169708798387,190.20904684673798,103.94813252877877,53,450.96887646350064,7
oldsmobile eighty-eight royale,156.81169708798387,190.20904684673798,103.94813252877877,3,450.96887646350064,7
oldsmobile eighty-eight,156.81169708798387,190.20904684673798,103.94813252877877,13,450.96887646350064,7
oldsmobile cutlass supreme,156.81169708798387,190.20904684673798,103.94813252877877,11,450.96887646350064,7
oldsmobile cutlass ciera,156.81169708798387,190.20904684673798,103.94813252877877,9,450.96887646350064,7
oldsmobile cutlass,156.81169708798387,190.20904684673798,103.94813252877877,14,450.96887646350064,7
oldsmobile bravada,156.81169708798387,190.20904684673798,103.94813252877877,48,450.96887646350064,7
